GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric
DA2SG9A,bsPwr,42,40,CBEA5,DBEA2,False,False
DA4X61C,bsPwr,42,43,CBEA5,DBEA4,False,False
DA4072C,bsPwr,42,43,CBEA5,DBEA4,False,False
DA4072A,bsPwr,42,41,CBEA5,DBEA4,False,False
DA4777C,bsPwr,42,43,CBEA5,DBEA4,False,False
DA4V99B,bsPwr,42,43,CBEA5,DBEA4,False,False
DA4V99C,bsPwr,42,43,CBEA5,DBEA4,False,False
DA4V99A,bsPwr,42,43,CBEA5,DBEA4,False,False
DA4W72C,bsPwr,42,43,CBEA5,DBEA4,False,False
DA4GD7B,bsPwr,42,40,CBEA5,DBEA4,False,False
DA5NS7A,bsPwr,42,40,CBEA5,DBEA5,False,False
DA5SU4B,bsPwr,42,40,CBEA5,DBEA5,False,False
CA4217A,bsPwr,42,43,CBEA5,DBEA4,False,False
CGPCHD0A,bsPwr,42,43,CBEB3,CBEC2,False,False
CGPCHD0C,bsPwr,42,43,CBEB3,CBEC2,False,False
CGMIRF7C,bsPwr,80,43,CBEA8,CBEB0,False,False
CGMIRF7B,bsRxMin,150,96,CBEC5,CBEB0,False,False
CGCDG67B,bsRxMin,150,96,CBEC2,CBEB3,False,False
CC3O52A,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3L74A,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3L74B,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3L74C,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3O12A,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3O12C,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3O52C,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3O68C,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3B44C,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3G60A,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3885C,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3063A,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3063B,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3063C,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3B44A,bsRxMin,150,96,CBEC2,CBEC3,False,False
CC3885B,bsRxMin,150,96,CBEC2,CBEC3,False,False
CGCDG53C,bsRxMin,150,96,CBEC2,CBEB3,False,False
CGCDG67C,bsRxMin,150,96,CBEC2,CBEB3,False,False
CGCDG28C,bsRxMin,150,96,CBEC2,CBEB3,False,False
CGCDG53B,bsRxMin,150,96,CBEC2,CBEB3,False,False
CGCDG53A,bsRxMin,150,96,CBEC2,CBEB3,False,False
CGBYZ16B,bsRxMin,150,96,CBEC2,CBEB3,False,False
CGBYZ78B,bsRxMin,150,96,CBEC2,CBEB3,False,False
CC0XI7A,bsRxMin,150,96,CBEC4,CBEC0,False,False
LXRGN10C,bsRxMin,150,96,DBEA2,CBEA5,False,False
DA5IF4B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5XY2B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5704C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5W39A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5BD7B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5454B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5454A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5136A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5NQ5A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5IF4A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5RB6B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5YK0B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5ZD8B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5QU8B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5704B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5BN1C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5YK0C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5C52B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5C19A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5136C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5A6TB,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5BN1B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5BN1A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5QU8A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5731C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5V89C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5731B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5161B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5C12B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5WD7C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5161A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5161C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5136B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5WD7A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5WD7B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5XY2C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5NF3A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5NF3B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5BD7A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5704A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5V89A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5V89B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5748B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5ZM5C,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5ZH2B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5530A,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5C19B,bsRxMin,150,96,DBEA4,DBEA5,False,False
DA5XY2A,bsRxMin,150,96,DBEA4,DBEA5,False,False
NOSNM33A,bsRxMin,150,96,DBEA4,CBEA5,False,False
NOCTK21A,bsRxMin,150,96,DBEA5,CBEA5,False,False
LXRGN10B,bsRxMin,150,96,DBEA5,CBEA5,False,False
CMMHG27B,bsRxMin,150,96,DBEA5,CBEA5,False,False
CMNKT79A,bsRxMin,150,96,DBEA5,DBEA4,False,False
CMNKT39A,bsRxMin,150,96,DBEA5,DBEA4,False,False
LXRGN41B,bsRxMin,150,96,DBEA5,CBEA5,False,False
CMBRRC8A,bsRxMin,150,96,DBEA5,DBEA1,False,False
CGPCHD0A,bsRxMin,150,96,CBEC3,CBEC2,False,False
CGPCHD0B,bsRxMin,150,96,CBEC3,CBEC2,False,False
DA4YM6B,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA5A8AB,bsRxMin,150,96,CBEA5,DBEA5,False,False
DA5452B,bsRxMin,150,96,CBEA5,DBEA5,False,False
DA5C83B,bsRxMin,150,96,CBEA5,DBEA5,False,False
DA5C83A,bsRxMin,150,96,CBEA5,DBEA5,False,False
DA5NV9B,bsRxMin,150,96,CBEA5,DBEA5,False,False
DA5E26B,bsRxMin,150,96,CBEA5,DBEA5,False,False
DA2523A,bsRxMin,150,96,CBEA5,DBEA2,False,False
DA2523B,bsRxMin,150,96,CBEA5,DBEA2,False,False
DA2SG9A,bsRxMin,150,96,CBEA5,DBEA2,False,False
DA4X61C,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA4072C,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA4072A,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA4777C,bsRxMin,150,96,CBEA5,DBEA4,False,False
