GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric,part_2
CGMIRF7B,bsRxMin,150,96,CBEC5,CBEB0,False,False,bsRxMin:96
CGCDG67B,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CC3O52A,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3L74A,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3L74B,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3L74C,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3O12A,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3O12C,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3O52C,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3O68C,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3B44C,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3G60A,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3885C,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3063A,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3063B,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3063C,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3B44A,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CC3885B,bsRxMin,150,96,CBEC2,CBEC3,False,False,bsRxMin:96
CGCDG53C,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CGCDG67C,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CGCDG28C,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CGCDG53B,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CGCDG53A,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CGBYZ16B,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CGBYZ78B,bsRxMin,150,96,CBEC2,CBEB3,False,False,bsRxMin:96
CC0XI7A,bsRxMin,150,96,CBEC4,CBEC0,False,False,bsRxMin:96
LXRGN10C,bsRxMin,150,96,DBEA2,CBEA5,False,False,bsRxMin:96
DA5IF4B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5XY2B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5704C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5W39A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5BD7B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5454B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5454A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5136A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5NQ5A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5IF4A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5RB6B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5YK0B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5ZD8B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5QU8B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5704B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5BN1C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5YK0C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5C52B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5C19A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5136C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5A6TB,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5BN1B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5BN1A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5QU8A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5731C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5V89C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5731B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5161B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5C12B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5WD7C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5161A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5161C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5136B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5WD7A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5WD7B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5XY2C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5NF3A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5NF3B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5BD7A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5704A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5V89A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5V89B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5748B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5ZM5C,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5ZH2B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5530A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5C19B,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
DA5XY2A,bsRxMin,150,96,DBEA4,DBEA5,False,False,bsRxMin:96
NOSNM33A,bsRxMin,150,96,DBEA4,CBEA5,False,False,bsRxMin:96
NOCTK21A,bsRxMin,150,96,DBEA5,CBEA5,False,False,bsRxMin:96
LXRGN10B,bsRxMin,150,96,DBEA5,CBEA5,False,False,bsRxMin:96
CMMHG27B,bsRxMin,150,96,DBEA5,CBEA5,False,False,bsRxMin:96
CMNKT79A,bsRxMin,150,96,DBEA5,DBEA4,False,False,bsRxMin:96
CMNKT39A,bsRxMin,150,96,DBEA5,DBEA4,False,False,bsRxMin:96
LXRGN41B,bsRxMin,150,96,DBEA5,CBEA5,False,False,bsRxMin:96
CMBRRC8A,bsRxMin,150,96,DBEA5,DBEA1,False,False,bsRxMin:96
CGPCHD0A,bsRxMin,150,96,CBEC3,CBEC2,False,False,bsRxMin:96
CGPCHD0B,bsRxMin,150,96,CBEC3,CBEC2,False,False,bsRxMin:96
DA4YM6B,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA5A8AB,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
DA5452B,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
DA5C83B,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
DA5C83A,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
DA5NV9B,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
DA5E26B,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
DA2523A,bsRxMin,150,96,CBEA5,DBEA2,False,False,bsRxMin:96
DA2523B,bsRxMin,150,96,CBEA5,DBEA2,False,False,bsRxMin:96
DA2SG9A,bsRxMin,150,96,CBEA5,DBEA2,False,False,bsRxMin:96
DA4X61C,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4072C,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4072A,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4777C,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4V99B,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4V99C,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4V99A,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4W72C,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA4GD7B,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
DA5NS7A,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
DA5SU4B,bsRxMin,150,96,CBEA5,DBEA5,False,False,bsRxMin:96
CA4217A,bsRxMin,150,96,CBEA5,DBEA4,False,False,bsRxMin:96
CGPCHD0A,bsRxMin,150,96,CBEB3,CBEC2,False,False,bsRxMin:96
CGPCHD0C,bsRxMin,150,96,CBEB3,CBEC2,False,False,bsRxMin:96
CGMIRF7C,bsRxMin,150,96,CBEA8,CBEB0,False,False,bsRxMin:96
CGCDG67B,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
CC3O52A,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3L74A,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3L74B,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3L74C,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3O12A,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3O12C,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3O52C,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3O68C,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3B44C,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3G60A,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3885C,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3063A,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
